RecordNum,SITENAME,Date,TypeTP,ugP/g
549,TS/Ph6b,2017-03-01,Aboveground,405.636
550,TS/Ph6b,2017-03-01,Belowground,155.658
551,TS/Ph6b,2017-03-01,Belowground,309.127
552,TS/Ph6b,2017-03-01,Belowground,180.816
553,TS/Ph6b,2018-03-01,Aboveground,308.495
554,TS/Ph6b,2018-03-01,Aboveground,363.586
555,TS/Ph6b,2018-03-01,Aboveground,338.738
556,TS/Ph6b,2018-03-01,Belowground,312.516
557,TS/Ph6b,2018-03-01,Belowground,437.374
558,TS/Ph6b,2018-03-01,Belowground,219.57
559,TS/Ph6b,2019-04-01,Aboveground,274.794
560,TS/Ph6b,2019-04-01,Aboveground,270.345
561,TS/Ph6b,2019-04-01,Aboveground,444.719
562,TS/Ph6b,2019-04-01,Belowground,403.03
563,TS/Ph6b,2019-04-01,Belowground,184.647
564,TS/Ph6b,2019-04-01,Belowground,221.586
565,TS/Ph6b,2020-03-01,Aboveground,164.317
566,TS/Ph6b,2020-03-01,Aboveground,212.17
567,TS/Ph6b,2020-03-01,Aboveground,209.556
568,TS/Ph6b,2020-03-01,Belowground,168.106
569,TS/Ph6b,2020-03-01,Belowground,143.956
570,TS/Ph6b,2020-03-01,Belowground,187.086
571,TS/Ph6b,2021-03-01,Aboveground,199.776
572,TS/Ph6b,2021-03-01,Aboveground,331.191
573,TS/Ph6b,2021-03-01,Aboveground,159.79
574,TS/Ph6b,2021-03-01,Belowground,164.783
575,TS/Ph6b,2021-03-01,Belowground,230.155
576,TS/Ph6b,2021-03-01,Belowground,245.276
577,TS/Ph6b,2022-04-01,Aboveground,119.121
578,TS/Ph6b,2022-04-01,Aboveground,159.418
579,TS/Ph6b,2022-04-01,Aboveground,236.201
580,TS/Ph6b,2022-04-01,Belowground,166.228
581,TS/Ph6b,2022-04-01,Belowground,244.506
582,TS/Ph6b,2022-04-01,Belowground,167.649
583,TS/Ph6b,2023-04-01,Aboveground,298.405
584,TS/Ph6b,2023-04-01,Aboveground,180.548
585,TS/Ph6b,2023-04-01,Aboveground,261.666
586,TS/Ph6b,2023-04-01,Belowground,524.122
587,TS/Ph6b,2023-04-01,Belowground,179.781
588,TS/Ph6b,2023-04-01,Belowground,361.002
