SITENAME,Date,Type,mgC/g,mgN/g
SRS2,2002-09-01,Above,472.00,6.19
SRS2,2002-09-01,Above,474.00,7.00
SRS2,2002-09-01,Above,479.00,6.14
SRS2,2002-09-01,Below,465.00,12.10
SRS2,2002-09-01,Below,472.00,6.22
SRS2,2002-09-01,Below,479.00,6.30
SRS2,2003-03-01,Above,476.00,11.10
SRS2,2003-03-01,Above,477.00,8.23
SRS2,2003-03-01,Above,485.00,8.42
SRS2,2003-03-01,Below,474.00,8.65
SRS2,2003-03-01,Below,476.00,6.50
SRS2,2003-03-01,Below,475.00,6.75
SRS2,2004-03-01,Above,472.51,8.38
SRS2,2004-03-01,Above,485.02,7.27
SRS2,2004-03-01,Above,487.83,7.61
SRS2,2004-03-01,Below,475.98,9.14
SRS2,2004-03-01,Below,474.76,7.34
SRS2,2004-03-01,Below,475.15,8.14
SRS2,2005-04-01,Above,487.00,6.51
SRS2,2005-04-01,Above,488.00,5.92
SRS2,2005-04-01,Above,489.00,5.91
SRS2,2005-04-01,Below,481.00,13.90
SRS2,2005-04-01,Below,486.00,9.39
SRS2,2005-04-01,Below,479.00,7.84
SRS2,2006-03-01,Above,486.00,8.91
SRS2,2006-03-01,Above,496.00,6.81
SRS2,2006-03-01,Above,496.00,6.84
SRS2,2006-03-01,Below,480.00,6.39
SRS2,2006-03-01,Below,482.00,8.10
SRS2,2006-03-01,Below,487.00,6.63
SRS2,2007-03-01,Above,484.00,7.23
SRS2,2007-03-01,Above,480.00,5.88
SRS2,2007-03-01,Above,484.00,5.76
SRS2,2007-03-01,Below,471.00,6.65
SRS2,2007-03-01,Below,471.00,7.18
SRS2,2007-03-01,Below,474.00,6.54
SRS2,2008-03-01,Above,503.00,7.81
SRS2,2008-03-01,Above,508.00,8.63
SRS2,2008-03-01,Above,493.00,6.30
SRS2,2008-03-01,Below,487.00,6.40
SRS2,2008-03-01,Below,489.00,8.91
SRS2,2008-03-01,Below,491.00,8.53
SRS2,2009-03-01,Above,490.00,5.89
SRS2,2009-03-01,Above,488.00,3.91
SRS2,2009-03-01,Above,494.00,5.99
SRS2,2009-03-01,Below,481.00,5.67
SRS2,2009-03-01,Below,494.00,5.17
SRS2,2009-03-01,Below,477.00,7.62
SRS2,2010-03-01,Above,405.00,4.70
SRS2,2010-03-01,Above,465.90,5.70
SRS2,2010-03-01,Above,413.10,4.60
SRS2,2010-03-01,Below,415.70,3.70
SRS2,2010-03-01,Below,378.40,6.00
SRS2,2010-03-01,Below,476.80,5.70
SRS2,2011-03-01,Above,444.30,6.01
SRS2,2011-03-01,Above,433.85,6.57
SRS2,2011-03-01,Above,462.75,5.11
SRS2,2011-03-01,Below,428.88,4.92
SRS2,2011-03-01,Below,421.24,9.97
SRS2,2011-03-01,Below,428.57,5.44
SRS2,2012-03-01,Above,469.80,5.04
SRS2,2012-03-01,Above,448.73,3.59
SRS2,2012-03-01,Above,410.87,4.94
SRS2,2012-03-01,Below,452.88,5.51
SRS2,2012-03-01,Below,408.08,5.75
SRS2,2012-03-01,Below,424.80,9.29
SRS2,2013-03-01,Above,484.49,5.03
SRS2,2013-03-01,Above,474.40,6.83
SRS2,2013-03-01,Above,478.63,5.40
SRS2,2013-03-01,Below,468.27,13.70
SRS2,2013-03-01,Below,465.13,7.05
SRS2,2013-03-01,Below,462.97,12.64
SRS2,2014-03-01,Above,473.46,7.25
SRS2,2014-03-01,Above,475.87,7.47
SRS2,2014-03-01,Above,479.14,7.99
SRS2,2014-03-01,Below,451.12,15.41
SRS2,2014-03-01,Below,445.35,14.20
SRS2,2014-03-01,Below,444.82,12.63
SRS2,2015-03-01,Above,488.96,5.90
SRS2,2015-03-01,Above,480.57,7.22
SRS2,2015-03-01,Above,476.59,6.79
SRS2,2015-03-01,Below,457.80,9.15
SRS2,2015-03-01,Below,471.30,11.42
SRS2,2015-03-01,Below,467.76,8.01
SRS2,2016-03-01,Above,478.49,4.70
SRS2,2016-03-01,Above,475.43,5.47
SRS2,2016-03-01,Above,487.05,4.69
SRS2,2016-03-01,Below,466.59,6.21
SRS2,2016-03-01,Below,463.10,5.30
SRS2,2016-03-01,Below,468.32,6.24
SRS2,2017-03-01,Above,480.17,5.86
SRS2,2017-03-01,Above,485.12,4.86
SRS2,2017-03-01,Above,483.66,5.27
