RecordNum,SITENAME,Date,Type,mgC/g,mgN/g
551,TS/Ph6b,2017-03-01,Belowground,423.81,7.18
552,TS/Ph6b,2017-03-01,Belowground,482.92,4.44
553,TS/Ph6b,2018-03-01,Aboveground,484.35,11.82
554,TS/Ph6b,2018-03-01,Aboveground,481.70,11.51
555,TS/Ph6b,2018-03-01,Aboveground,486.59,5.61
556,TS/Ph6b,2018-03-01,Belowground,475.27,5.88
557,TS/Ph6b,2018-03-01,Belowground,488.15,8.18
558,TS/Ph6b,2018-03-01,Belowground,473.34,4.79
559,TS/Ph6b,2019-04-01,Aboveground,402.94,7.76
560,TS/Ph6b,2019-04-01,Aboveground,437.61,5.53
561,TS/Ph6b,2019-04-01,Aboveground,445.13,8.86
562,TS/Ph6b,2019-04-01,Belowground,416.60,5.52
563,TS/Ph6b,2019-04-01,Belowground,428.73,3.72
564,TS/Ph6b,2019-04-01,Belowground,426.14,3.94
565,TS/Ph6b,2020-03-01,Aboveground,463.92,3.85
566,TS/Ph6b,2020-03-01,Aboveground,462.34,7.97
567,TS/Ph6b,2020-03-01,Aboveground,467.19,7.87
568,TS/Ph6b,2020-03-01,Belowground,464.94,3.96
569,TS/Ph6b,2020-03-01,Belowground,462.03,3.21
570,TS/Ph6b,2020-03-01,Belowground,459.32,7.85
571,TS/Ph6b,2021-03-01,Aboveground,455.29,7.16
572,TS/Ph6b,2021-03-01,Aboveground,475.97,5.41
573,TS/Ph6b,2021-03-01,Aboveground,463.66,8.00
574,TS/Ph6b,2021-03-01,Belowground,451.27,5.56
575,TS/Ph6b,2021-03-01,Belowground,455.63,4.34
576,TS/Ph6b,2021-03-01,Belowground,465.97,5.54
577,TS/Ph6b,2022-04-01,Aboveground,471.99,6.80
578,TS/Ph6b,2022-04-01,Aboveground,482.24,6.89
579,TS/Ph6b,2022-04-01,Aboveground,479.34,7.23
580,TS/Ph6b,2022-04-01,Belowground,439.36,10.65
581,TS/Ph6b,2022-04-01,Belowground,464.05,7.12
582,TS/Ph6b,2022-04-01,Belowground,460.55,7.89
583,TS/Ph6b,2023-04-01,Aboveground,483.42,10.43
584,TS/Ph6b,2023-04-01,Aboveground,489.04,8.38
585,TS/Ph6b,2023-04-01,Aboveground,472.16,9.02
586,TS/Ph6b,2023-04-01,Belowground,478.31,9.89
587,TS/Ph6b,2023-04-01,Belowground,462.52,7.78
588,TS/Ph6b,2023-04-01,Belowground,459.52,8.15
